date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-05-08,19:50:21,2,-2,4,-3
2023-05-08,19:50:21,-4,-4,-1,-4
2023-05-08,19:50:21,-4,-3,-1,-4
2023-05-08,19:50:21,-4,-4,-1,-3
2023-05-08,19:50:21,-4,-4,-2,-4
2023-05-08,19:50:22,-4,-4,-2,-3
2023-05-08,19:50:22,-3,-5,-1,-4
2023-05-08,19:50:22,-3,-4,-2,-3
2023-05-08,19:50:22,-4,-4,-1,-5
2023-05-08,19:50:22,-6,-3,-4,-3
2023-05-08,19:50:22,-7,-2,-4,-2
2023-05-08,19:50:22,-6,-2,-4,-2
2023-05-08,19:50:22,-4,-3,-3,-2
2023-05-08,19:50:22,-4,-4,-2,-3
2023-05-08,19:50:22,0,-4,0,-4
2023-05-08,19:50:22,3,-2,5,-3
2023-05-08,19:50:22,4,-2,5,-3
2023-05-08,19:50:22,3,-1,6,-1
2023-05-08,19:50:22,3,-1,6,-1
2023-05-08,19:50:23,3,-1,5,-1
2023-05-08,19:50:23,-2,-4,0,-3
2023-05-08,19:50:23,-2,-4,-1,-3
2023-05-08,19:50:23,-3,-4,-2,-3
2023-05-08,19:50:23,-3,-4,-2,-3
2023-05-08,19:50:23,-3,-4,-1,-4
2023-05-08,19:50:23,-4,-4,-1,-4
2023-05-08,19:50:23,-4,-4,-2,-4
2023-05-08,19:50:23,-5,-3,-1,-3
2023-05-08,19:50:23,-6,-3,-1,-2
2023-05-08,19:50:23,-6,-2,-1,-3
2023-05-08,19:50:23,-6,-3,-2,-2
2023-05-08,19:50:23,-6,-2,-4,-2
2023-05-08,19:50:23,-6,-2,-3,-1
2023-05-08,19:50:24,-6,-2,-3,-2
2023-05-08,19:50:24,-5,-2,-5,-2
2023-05-08,19:50:24,5,-1,4,-2
2023-05-08,19:50:24,4,-1,5,-2
2023-05-08,19:50:24,2,-1,5,-2
2023-05-08,19:50:24,1,-2,5,-2
2023-05-08,19:50:24,1,-1,5,-1
2023-05-08,19:50:24,3,-1,5,-2
2023-05-08,19:50:24,2,-3,3,-2
2023-05-08,19:50:24,-1,-3,0,-3
2023-05-08,19:50:24,-4,-3,-2,-3
2023-05-08,19:50:24,-5,-4,0,-3
2023-05-08,19:50:24,-5,-3,0,-3
2023-05-08,19:50:24,-4,-4,0,-3
2023-05-08,19:50:25,-5,-3,0,-3
2023-05-08,19:50:25,-5,-3,-2,-3
2023-05-08,19:50:25,-6,-2,-1,-2
2023-05-08,19:50:25,-6,-3,-3,-2
2023-05-08,19:50:25,-6,-3,-3,-3
2023-05-08,19:50:25,-3,-2,-3,-2
2023-05-08,19:50:25,0,-2,-1,-2
2023-05-08,19:50:25,3,-2,1,-2
2023-05-08,19:50:25,3,-1,4,-2
2023-05-08,19:50:25,1,-1,4,-1
2023-05-08,19:50:25,2,-1,5,-2
2023-05-08,19:50:25,1,-2,5,-2
2023-05-08,19:50:25,2,-2,3,-3
2023-05-08,19:50:26,-5,-3,-1,-4
2023-05-08,19:50:26,-5,-3,-1,-4
2023-05-08,19:50:26,-5,-3,-2,-3
2023-05-08,19:50:26,-5,-4,-2,-4
2023-05-08,19:50:26,-4,-3,-3,-4
2023-05-08,19:50:26,-6,-3,-1,-3
2023-05-08,19:50:26,-5,-3,0,-2
2023-05-08,19:50:26,-6,-2,-2,-2
2023-05-08,19:50:26,-6,-3,-2,-3
2023-05-08,19:50:26,-6,-2,-2,-2
2023-05-08,19:50:26,0,-3,1,-4
2023-05-08,19:50:26,0,-3,2,-4
2023-05-08,19:50:26,2,-3,4,-3
2023-05-08,19:50:26,2,-1,5,-2
2023-05-08,19:50:27,2,-2,4,-3
2023-05-08,19:50:27,-2,-4,-1,-3
2023-05-08,19:50:27,-3,-3,-2,-4
2023-05-08,19:50:27,-2,-3,-2,-3
2023-05-08,19:50:27,1,-3,1,-4
2023-05-08,19:50:27,1,-3,1,-4
2023-05-08,19:50:27,-3,-5,1,-4
2023-05-08,19:50:27,-4,-4,-1,-4
2023-05-08,19:50:27,-5,-3,0,-4
2023-05-08,19:50:27,-6,-3,-1,-4
2023-05-08,19:50:27,-5,-3,-1,-3
2023-05-08,19:50:27,-5,-3,-1,-2
2023-05-08,19:50:27,-5,-3,-1,-2
2023-05-08,19:50:27,-5,-3,-2,-3
2023-05-08,19:50:28,-4,-3,-2,-3
2023-05-08,19:50:28,-4,-3,-3,-4
2023-05-08,19:50:28,0,-3,4,-4
2023-05-08,19:50:28,2,-2,4,-3
2023-05-08,19:50:28,1,-3,4,-3
2023-05-08,19:50:28,1,-3,4,-3
2023-05-08,19:50:28,-1,-4,2,-4
2023-05-08,19:50:28,-4,-4,-1,-4
2023-05-08,19:50:28,-4,-4,-3,-4
2023-05-08,19:50:28,-4,-3,-1,-4
2023-05-08,19:50:28,-4,-4,-1,-3
2023-05-08,19:50:28,-4,-3,-1,-3
2023-05-08,19:50:28,-5,-3,-1,-4
2023-05-08,19:50:29,-5,-3,-1,-4
2023-05-08,19:50:29,-6,-3,-1,-2
2023-05-08,19:50:29,-6,-2,-2,-2
2023-05-08,19:50:29,-6,-2,-2,-2
2023-05-08,19:50:29,-5,-1,-3,-2
2023-05-08,19:50:29,-2,-1,-3,-1
2023-05-08,19:50:29,-1,-2,-1,-2
2023-05-08,19:50:29,3,-1,2,-2
2023-05-08,19:50:29,3,-2,3,-2
2023-05-08,19:50:29,3,-1,5,-1
2023-05-08,19:50:29,2,-2,6,-2
2023-05-08,19:50:30,0,-4,2,-4
2023-05-08,19:50:30,-3,-4,1,-4
2023-05-08,19:50:30,-2,-4,0,-4
2023-05-08,19:50:30,-4,-3,-1,-3
2023-05-08,19:50:30,-3,-4,-1,-4
2023-05-08,19:50:30,-3,-5,-1,-5
2023-05-08,19:50:30,-5,-4,-1,-4
2023-05-08,19:50:30,-4,-4,-2,-4
2023-05-08,19:50:30,-4,-4,-1,-4
2023-05-08,19:50:30,-3,-5,0,-4
2023-05-08,19:50:30,1,-3,4,-3
2023-05-08,19:50:30,-2,-4,1,-4
2023-05-08,19:50:30,-5,-4,-1,-4
2023-05-08,19:50:31,-5,-4,-2,-4
2023-05-08,19:50:31,-5,-3,-2,-2
2023-05-08,19:50:31,-5,-3,-2,-3
2023-05-08,19:50:31,1,-3,1,-4
2023-05-08,19:50:31,1,-3,3,-4
2023-05-08,19:50:31,1,-3,4,-3
2023-05-08,19:50:31,1,-2,5,-3
2023-05-08,19:50:31,2,-2,4,-3
2023-05-08,19:50:31,-2,-4,-1,-4
2023-05-08,19:50:31,-3,-4,-1,-3
2023-05-08,19:50:31,-4,-3,-1,-3
2023-05-08,19:50:31,-5,-3,-4,-3
2023-05-08,19:50:31,-6,-2,-5,-2
2023-05-08,19:50:31,-7,-2,-6,-1
2023-05-08,19:50:32,-6,-2,-5,-2
2023-05-08,19:50:32,-5,-2,-5,-2
2023-05-08,19:50:32,-5,-3,-3,-3
2023-05-08,19:50:32,-2,-4,-2,-4
2023-05-08,19:50:32,1,-3,4,-4
2023-05-08,19:50:32,1,-2,4,-3
2023-05-08,19:50:32,1,-2,4,-2
2023-05-08,19:50:32,2,-3,3,-3
2023-05-08,19:50:32,-1,-3,2,-4
2023-05-08,19:50:32,-4,-4,-2,-4
2023-05-08,19:50:32,-3,-5,-2,-4
2023-05-08,19:50:32,-4,-4,-1,-4
2023-05-08,19:50:32,-5,-4,-2,-4
2023-05-08,19:50:32,-4,-4,-2,-3
2023-05-08,19:50:33,-5,-4,-2,-3
2023-05-08,19:50:33,-5,-3,-4,-3
2023-05-08,19:50:33,-5,-2,-3,-2
