date,time,right_eye_x,right_eye_y,left_eye_x,left_eye_y
2023-05-08,20:17:16,-1,-2,0,-1
2023-05-08,20:17:16,-1,-2,-1,-1
2023-05-08,20:17:17,-1,-1,0,-1
2023-05-08,20:17:17,-1,-1,0,-1
2023-05-08,20:17:17,-2,-2,0,-2
2023-05-08,20:17:17,-1,-2,-1,-2
2023-05-08,20:17:17,0,-1,-1,-1
2023-05-08,20:17:17,-2,-2,0,-2
2023-05-08,20:17:17,-1,-1,-1,-1
2023-05-08,20:17:17,-1,-1,-1,-1
2023-05-08,20:17:17,-1,-1,-1,-1
2023-05-08,20:17:17,-1,-2,-1,-1
2023-05-08,20:17:17,-1,-2,-1,-1
2023-05-08,20:17:17,-1,-1,-1,-1
2023-05-08,20:17:17,-2,-1,-1,-2
2023-05-08,20:17:18,-2,-1,-1,-2
2023-05-08,20:17:18,-2,-2,-2,-2
2023-05-08,20:17:18,-2,-2,-2,-2
2023-05-08,20:17:18,-3,-1,-1,-2
2023-05-08,20:17:18,-3,-2,-3,-2
2023-05-08,20:17:18,-3,-1,-3,-1
2023-05-08,20:17:18,-3,-2,-1,-1
2023-05-08,20:17:18,-2,-2,-3,-2
2023-05-08,20:17:18,-3,-1,-2,-1
2023-05-08,20:17:18,-3,-1,-1,-1
2023-05-08,20:17:18,-2,-2,0,-1
2023-05-08,20:17:18,-2,-1,0,-2
2023-05-08,20:17:18,-2,-2,-1,-2
2023-05-08,20:17:18,-2,-1,0,-1
2023-05-08,20:17:19,-1,-2,-1,-1
2023-05-08,20:17:19,-1,-2,-1,-1
2023-05-08,20:17:19,-1,-1,-1,-1
2023-05-08,20:17:20,-1,-1,-1,-2
2023-05-08,20:17:20,-1,-2,-1,-2
2023-05-08,20:17:20,-1,-1,-1,-2
2023-05-08,20:17:20,-1,-1,0,-2
2023-05-08,20:17:20,0,-1,-1,-1
2023-05-08,20:17:20,-1,-1,-1,-2
2023-05-08,20:17:20,-2,-1,-1,-2
2023-05-08,20:17:20,-2,-2,-1,-2
2023-05-08,20:17:20,-2,-2,-1,-2
2023-05-08,20:17:20,-1,-2,-1,-2
2023-05-08,20:17:20,-1,-1,-1,-2
2023-05-08,20:17:20,-2,-1,-2,-1
2023-05-08,20:17:21,-2,-2,0,-2
2023-05-08,20:17:21,-3,-2,-1,-2
2023-05-08,20:17:21,-3,-2,-1,-2
2023-05-08,20:17:21,-3,-2,-1,-2
2023-05-08,20:17:21,-1,-1,0,-2
2023-05-08,20:17:21,-1,-2,0,-1
2023-05-08,20:17:21,-1,-1,0,-1
2023-05-08,20:17:21,-2,-1,0,-1
2023-05-08,20:17:22,-1,-1,0,-1
2023-05-08,20:17:22,-2,-1,0,-1
2023-05-08,20:17:22,-1,-1,0,-1
2023-05-08,20:17:22,-1,-1,0,-1
2023-05-08,20:17:22,-2,-2,-1,-2
2023-05-08,20:17:22,-3,-2,-2,-1
2023-05-08,20:17:23,-3,-2,-2,-1
2023-05-08,20:17:23,-4,-2,-1,-2
2023-05-08,20:17:23,-3,-1,-2,-1
2023-05-08,20:17:23,-3,-2,-2,-1
2023-05-08,20:17:23,-2,-2,-1,-2
2023-05-08,20:17:23,-2,-2,-1,-2
2023-05-08,20:17:23,-2,-2,-1,-2
2023-05-08,20:17:24,-2,-2,0,-2
2023-05-08,20:17:24,-2,-2,-1,-2
2023-05-08,20:17:24,-2,-1,-1,-1
2023-05-08,20:17:24,-2,-1,-1,-2
2023-05-08,20:17:24,-2,-1,-1,-2
2023-05-08,20:17:24,-2,-1,-1,-1
2023-05-08,20:17:24,-1,-1,-1,-1
2023-05-08,20:17:24,-1,-1,0,-1
2023-05-08,20:17:24,-1,-1,0,-2
2023-05-08,20:17:24,-1,-1,-1,-2
2023-05-08,20:17:24,-2,-1,0,-1
2023-05-08,20:17:24,-1,-1,0,-1
2023-05-08,20:17:24,-2,-2,0,-1
2023-05-08,20:17:25,-2,-1,0,-1
2023-05-08,20:17:25,-2,-1,-1,-1
2023-05-08,20:17:25,-2,-1,0,-2
2023-05-08,20:17:25,-2,-1,-1,-1
2023-05-08,20:17:25,-2,-2,0,-1
2023-05-08,20:17:25,-3,-2,-2,-2
2023-05-08,20:17:25,-3,-1,-1,-1
2023-05-08,20:17:25,-3,-2,-2,-1
2023-05-08,20:17:25,-3,-1,-2,-1
2023-05-08,20:17:25,-3,-2,-2,-1
2023-05-08,20:17:25,-3,-1,-2,-2
2023-05-08,20:17:25,-1,-1,-1,-1
2023-05-08,20:17:26,0,-1,1,-2
2023-05-08,20:17:26,1,-1,1,-1
2023-05-08,20:17:26,1,-2,1,-2
2023-05-08,20:17:26,1,-2,1,-2
2023-05-08,20:17:26,0,-2,0,-2
2023-05-08,20:17:26,1,-2,2,-1
2023-05-08,20:17:26,2,-2,2,-2
2023-05-08,20:17:26,3,-2,3,-1
2023-05-08,20:17:26,2,-1,2,-2
2023-05-08,20:17:26,2,-2,2,-2
2023-05-08,20:17:26,3,-1,3,-1
2023-05-08,20:17:26,2,-2,2,-1
2023-05-08,20:17:26,2,-2,2,-1
2023-05-08,20:17:27,1,-1,2,-2
2023-05-08,20:17:27,1,-1,1,-1
2023-05-08,20:17:27,1,-2,1,-1
2023-05-08,20:17:27,1,-1,1,-1
2023-05-08,20:17:27,0,-2,0,-2
2023-05-08,20:17:27,-1,-1,0,-2
2023-05-08,20:17:27,-1,-1,0,-1
2023-05-08,20:17:27,-1,-2,1,-1
2023-05-08,20:17:28,-1,-2,0,-1
2023-05-08,20:17:28,-1,-1,0,-1
2023-05-08,20:17:28,-1,-1,-1,-1
2023-05-08,20:17:28,0,-1,0,-2
2023-05-08,20:17:28,-2,-2,0,-1
2023-05-08,20:17:28,-1,-2,0,-1
2023-05-08,20:17:28,0,-2,0,-1
2023-05-08,20:17:28,0,-2,0,-2
2023-05-08,20:17:28,2,-2,2,-1
2023-05-08,20:17:28,2,-1,2,-1
2023-05-08,20:17:28,3,-2,3,-1
2023-05-08,20:17:28,2,-1,3,-1
2023-05-08,20:17:29,2,-2,2,-1
2023-05-08,20:17:29,2,-1,2,-2
2023-05-08,20:17:29,2,-1,3,-1
2023-05-08,20:17:29,2,-1,3,-2
2023-05-08,20:17:29,-3,-2,-3,-2
2023-05-08,20:17:29,-4,-2,-2,-1
2023-05-08,20:17:29,-4,-2,-2,-1
2023-05-08,20:17:29,-3,-2,-2,-2
2023-05-08,20:17:30,-1,-2,0,-2
2023-05-08,20:17:30,-1,-2,0,-2
